Gene stable ID	Gene stable ID version	Gene name	Human gene stable ID	Human gene name	Human protein or transcript stable ID	Human orthology confidence [0 low, 1 high]	Human homology type
ENSMUSG00000001804	ENSMUSG00000001804.10	Dsg4	ENSG00000175065	DSG4	ENSP00000311859	1	ortholog_one2one
ENSMUSG00000008301	ENSMUSG00000008301.12	Phax	ENSG00000164902	PHAX	ENSP00000297540	1	ortholog_one2one
ENSMUSG00000032900	ENSMUSG00000032900.16	Spmip10	ENSG00000196900	SPMIP10	ENSP00000349669	1	ortholog_one2one
ENSMUSG00000024590	ENSMUSG00000024590.9	Lmnb1	ENSG00000113368	LMNB1	ENSP00000261366	1	ortholog_one2one
ENSMUSG00000033863	ENSMUSG00000033863.3	Klf9	ENSG00000119138	KLF9	ENSP00000366330	1	ortholog_one2one
ENSMUSG00000032656	ENSMUSG00000032656.15	Marchf3	ENSG00000173926	MARCHF3	ENSP00000309141	1	ortholog_one2one
ENSMUSG00000025075	ENSMUSG00000025075.15	Habp2	ENSG00000148702	HABP2	ENSP00000277903	1	ortholog_one2one
ENSMUSG00000056632	ENSMUSG00000056632.9	Dsg3	ENSG00000134757	DSG3	ENSP00000257189	1	ortholog_one2one
ENSMUSG00000024592	ENSMUSG00000024592.16	C330018D20Rik	ENSG00000164241	C5orf63	ENSP00000453964	1	ortholog_one2one
ENSMUSG00000024943	ENSMUSG00000024943.10	Smc5	ENSG00000198887	SMC5	ENSP00000354957	1	ortholog_one2one
ENSMUSG00000044393	ENSMUSG00000044393.16	Dsg2	ENSG00000046604	DSG2	ENSP00000261590	1	ortholog_one2one
ENSMUSG00000061808	ENSMUSG00000061808.5	Ttr	ENSG00000118271	TTR	ENSP00000237014	1	ortholog_one2one
ENSMUSG00000056124	ENSMUSG00000056124.6	B4galt6	ENSG00000118276	B4GALT6	ENSP00000306459	1	ortholog_one2one
ENSMUSG00000024593	ENSMUSG00000024593.16	Megf10	ENSG00000145794	MEGF10	ENSP00000423354	1	ortholog_one2one
ENSMUSG00000033207	ENSMUSG00000033207.8	Mamdc2	ENSG00000165072	MAMDC2	ENSP00000366387	1	ortholog_one2one
ENSMUSG00000033382	ENSMUSG00000033382.16	Trappc8	ENSG00000153339	TRAPPC8	ENSP00000283351	1	ortholog_one2one
ENSMUSG00000033053	ENSMUSG00000033053.5	Cfap95	ENSG00000204711	CFAP95	ENSP00000366402	1	ortholog_one2one
ENSMUSG00000074925	ENSMUSG00000074925.5	Ptar1	ENSG00000188647	PTAR1	ENSP00000344299	1	ortholog_one2one
ENSMUSG00000024897	ENSMUSG00000024897.10	Apba1	ENSG00000107282	APBA1	ENSP00000265381	1	ortholog_one2one
ENSMUSG00000033107	ENSMUSG00000033107.7	Rnf125	ENSG00000101695	RNF125	ENSP00000217740	1	ortholog_one2one
ENSMUSG00000024317	ENSMUSG00000024317.16	Rnf138	ENSG00000134758	RNF138	ENSP00000261593	1	ortholog_one2one
ENSMUSG00000071604	ENSMUSG00000071604.6	Entrep1	ENSG00000135063	ENTREP1	ENSP00000304435	1	ortholog_one2one
ENSMUSG00000024812	ENSMUSG00000024812.12	Tjp2	ENSG00000119139	TJP2	ENSP00000366453	1	ortholog_one2one
ENSMUSG00000024313	ENSMUSG00000024313.9	Mep1b	ENSG00000141434	MEP1B	ENSP00000269202	1	ortholog_one2one
ENSMUSG00000042680	ENSMUSG00000042680.9	Garem1	ENSG00000141441	GAREM1	ENSP00000269209	1	ortholog_one2one
ENSMUSG00000024598	ENSMUSG00000024598.10	Fbn2	ENSG00000138829	FBN2	ENSP00000262464	1	ortholog_one2one
ENSMUSG00000059363	ENSMUSG00000059363.11	Fxn	ENSG00000165060	FXN	ENSP00000419243	1	ortholog_one2one
ENSMUSG00000024867	ENSMUSG00000024867.15	Pip5k1b	ENSG00000107242	PIP5K1B	ENSP00000265382	1	ortholog_one2one
ENSMUSG00000042514	ENSMUSG00000042514.12	Klhl14	ENSG00000197705	KLHL14	ENSP00000352314	1	ortholog_one2one
ENSMUSG00000074922	ENSMUSG00000074922.2	Pabir1	ENSG00000187866	PABIR1	ENSP00000377807	1	ortholog_one2one
ENSMUSG00000048572	ENSMUSG00000048572.6	Tmem252	ENSG00000181778	TMEM252	ENSP00000366528	1	ortholog_one2one
ENSMUSG00000041731	ENSMUSG00000041731.14	Pgm5	ENSG00000154330	PGM5	ENSP00000379678	1	ortholog_one2one
ENSMUSG00000024600	ENSMUSG00000024600.9	Slc27a6	ENSG00000113396	SLC27A6	ENSP00000262462	1	ortholog_one2one
ENSMUSG00000024601	ENSMUSG00000024601.10	Isoc1	ENSG00000066583	ISOC1	ENSP00000173527	1	ortholog_one2one
ENSMUSG00000053441	ENSMUSG00000053441.6	Adamts19	ENSG00000145808	ADAMTS19	ENSP00000274487	1	ortholog_one2one
ENSMUSG00000049134	ENSMUSG00000049134.16	Nrap	ENSG00000197893	NRAP	ENSP00000353078	1	ortholog_one2one
ENSMUSG00000024306	ENSMUSG00000024306.14	Ccdc178	ENSG00000166960	CCDC178	ENSP00000372576	1	ortholog_one2one
ENSMUSG00000056380	ENSMUSG00000056380.14	Gpr50	ENSG00000102195	GPR50	ENSP00000218316	1	ortholog_one2one
ENSMUSG00000050875	ENSMUSG00000050875.12	Minar2	ENSG00000186367	MINAR2	ENSP00000454268	1	ortholog_one2one
ENSMUSG00000073131	ENSMUSG00000073131.13	Vma21	ENSG00000160131	VMA21	ENSP00000333255	1	ortholog_one2one
ENSMUSG00000106653	ENSMUSG00000106653.3	Mir299a	ENSG00000207749	MIR299	ENST00000385016	1	ortholog_one2one
ENSMUSG00000020607	ENSMUSG00000020607.8	Lratd1	ENSG00000162981	LRATD1	ENSP00000295092	1	ortholog_one2one
ENSMUSG00000065617	ENSMUSG00000065617.3	Mir323	ENSG00000199069	MIR323A	ENST00000362199	1	ortholog_one2one
ENSMUSG00000070141	ENSMUSG00000070141.4	Mir494	ENSG00000194717	MIR494	ENST00000349529	1	ortholog_one2one
ENSMUSG00000058152	ENSMUSG00000058152.9	Chsy3	ENSG00000198108	CHSY3	ENSP00000302629	1	ortholog_one2one
ENSMUSG00000098838	ENSMUSG00000098838.4	Mir381	ENSG00000199020	MIR381	ENST00000362150	1	ortholog_one2one
ENSMUSG00000020601	ENSMUSG00000020601.9	Trib2	ENSG00000071575	TRIB2	ENSP00000155926	1	ortholog_one2one
ENSMUSG00000041380	ENSMUSG00000041380.14	Htr2c	ENSG00000147246	HTR2C	ENSP00000276198	1	ortholog_one2one
ENSMUSG00000041923	ENSMUSG00000041923.16	Nol4	ENSG00000101746	NOL4	ENSP00000261592	1	ortholog_one2one
ENSMUSG00000071235	ENSMUSG00000071235.13	Vrtn	ENSG00000133980	VRTN	ENSP00000256362	1	ortholog_one2one
ENSMUSG00000065428	ENSMUSG00000065428.6	Mir382	ENSG00000283170	MIR382	ENST00000637119	1	ortholog_one2one
ENSMUSG00000065426	ENSMUSG00000065426.5	Mir134	ENSG00000207993	MIR134	ENST00000385258	1	ortholog_one2one
ENSMUSG00000099236	ENSMUSG00000099236.4	Mir668	ENSG00000276352	MIR668	ENST00000611970	1	ortholog_one2one
ENSMUSG00000065448	ENSMUSG00000065448.4	Mir154	ENSG00000207978	MIR154	ENST00000385243	1	ortholog_one2one
ENSMUSG00000070136	ENSMUSG00000070136.3	Mir496a	ENSG00000207961	MIR496	ENST00000385226	1	ortholog_one2one
ENSMUSG00000065438	ENSMUSG00000065438.4	Mir377	ENSG00000199015	MIR377	ENST00000362145	1	ortholog_one2one
ENSMUSG00000071234	ENSMUSG00000071234.4	Syndig1l	ENSG00000183379	SYNDIG1L	ENSP00000331474	1	ortholog_one2one
ENSMUSG00000076052	ENSMUSG00000076052.3	Mir541	ENSG00000216179	MIR541	ENST00000401360	1	ortholog_one2one
ENSMUSG00000056537	ENSMUSG00000056537.12	Rlim	ENSG00000131263	RLIM	ENSP00000328059	1	ortholog_one2one
ENSMUSG00000065570	ENSMUSG00000065570.3	Mir412	ENSG00000199012	MIR412	ENST00000362142	1	ortholog_one2one
ENSMUSG00000065497	ENSMUSG00000065497.3	Mir410	ENSG00000199092	MIR410	ENST00000362222	1	ortholog_one2one
ENSMUSG00000035142	ENSMUSG00000035142.19	Nubpl	ENSG00000151413	NUBPL	ENSP00000281081	1	ortholog_one2one
ENSMUSG00000059632	ENSMUSG00000059632.5	Krtap8-1	ENSG00000183640	KRTAP8-1	ENSP00000332805	1	ortholog_one2one
ENSMUSG00000056706	ENSMUSG00000056706.4	Krtap7-1	ENSG00000274749	KRTAP7-1	ENSP00000479656	1	ortholog_one2one
ENSMUSG00000091212	ENSMUSG00000091212.2	Krtap11-1	ENSG00000182591	KRTAP11-1	ENSP00000330720	1	ortholog_one2one
ENSMUSG00000044117	ENSMUSG00000044117.13	Bmerb1	ENSG00000166780	BMERB1	ENSP00000300006	1	ortholog_one2one
ENSMUSG00000077767	ENSMUSG00000077767.3	Snora35	ENSG00000208839	SNORA35	ENST00000386104	1	ortholog_one2one
ENSMUSG00000021242	ENSMUSG00000021242.10	Npc2	ENSG00000119655	NPC2	ENSP00000451112	1	ortholog_one2one
ENSMUSG00000024604	ENSMUSG00000024604.8	Rbm22	ENSG00000086589	RBM22	ENSP00000199814	1	ortholog_one2one
ENSMUSG00000022820	ENSMUSG00000022820.5	Ndufb4	ENSG00000065518	NDUFB4	ENSP00000184266	1	ortholog_one2one
ENSMUSG00000021241	ENSMUSG00000021241.8	Isca2	ENSG00000165898	ISCA2	ENSP00000452007	1	ortholog_one2one
ENSMUSG00000060657	ENSMUSG00000060657.9	Marf1	ENSG00000166783	MARF1	ENSP00000379654	1	ortholog_one2one
ENSMUSG00000065450	ENSMUSG00000065450.3	Mir448	ENSG00000199001	MIR448	ENST00000362131	1	ortholog_one2one
ENSMUSG00000035133	ENSMUSG00000035133.10	Arhgap5	ENSG00000100852	ARHGAP5	ENSP00000371897	1	ortholog_one2one
ENSMUSG00000033361	ENSMUSG00000033361.14	Prrg3	ENSG00000130032	PRRG3	ENSP00000501544	1	ortholog_one2one
ENSMUSG00000024302	ENSMUSG00000024302.17	Dtna	ENSG00000134769	DTNA	ENSP00000405819	1	ortholog_one2one
ENSMUSG00000061603	ENSMUSG00000061603.9	Akap6	ENSG00000151320	AKAP6	ENSP00000280979	1	ortholog_one2one
ENSMUSG00000046449	ENSMUSG00000046449.16	Nexmif	ENSG00000050030	NEXMIF	ENSP00000055682	1	ortholog_one2one
ENSMUSG00000070074	ENSMUSG00000070074.3	Mir484	ENSG00000283736	MIR484	ENST00000606601	1	ortholog_one2one
ENSMUSG00000022816	ENSMUSG00000022816.12	Fstl1	ENSG00000163430	FSTL1	ENSP00000295633	1	ortholog_one2one
ENSMUSG00000031289	ENSMUSG00000031289.11	Il13ra2	ENSG00000123496	IL13RA2	ENSP00000243213	1	ortholog_one2one
ENSMUSG00000021010	ENSMUSG00000021010.10	Npas3	ENSG00000151322	NPAS3	ENSP00000348460	1	ortholog_one2one
ENSMUSG00000034158	ENSMUSG00000034158.10	Lrrc58	ENSG00000163428	LRRC58	ENSP00000295628	1	ortholog_one2one
ENSMUSG00000046961	ENSMUSG00000046961.9	Gpr156	ENSG00000175697	GPR156	ENSP00000417261	1	ortholog_one2one
ENSMUSG00000005864	ENSMUSG00000005864.8	Cnga2	ENSG00000183862	CNGA2	ENSP00000328478	1	ortholog_one2one
ENSMUSG00000022812	ENSMUSG00000022812.15	Gsk3b	ENSG00000082701	GSK3B	ENSP00000264235	1	ortholog_one2one
ENSMUSG00000035105	ENSMUSG00000035105.6	Egln3	ENSG00000129521	EGLN3	ENSP00000250457	1	ortholog_one2one
ENSMUSG00000025076	ENSMUSG00000025076.13	Casp7	ENSG00000165806	CASP7	ENSP00000358324	1	ortholog_one2one
ENSMUSG00000002020	ENSMUSG00000002020.16	Ltbp2	ENSG00000119681	LTBP2	ENSP00000261978	1	ortholog_one2one
ENSMUSG00000031333	ENSMUSG00000031333.8	Abcb7	ENSG00000131269	ABCB7	ENSP00000362492	1	ortholog_one2one
ENSMUSG00000052085	ENSMUSG00000052085.8	Dock8	ENSG00000107099	DOCK8	ENSP00000394888	1	ortholog_one2one
ENSMUSG00000022678	ENSMUSG00000022678.17	Nde1	ENSG00000072864	NDE1	ENSP00000379642	1	ortholog_one2one
ENSMUSG00000073016	ENSMUSG00000073016.4	Uprt	ENSG00000094841	UPRT	ENSP00000362481	1	ortholog_one2one
ENSMUSG00000033906	ENSMUSG00000033906.6	Zdhhc15	ENSG00000102383	ZDHHC15	ENSP00000362465	1	ortholog_one2one
ENSMUSG00000024277	ENSMUSG00000024277.15	Mapre2	ENSG00000166974	MAPRE2	ENSP00000300249	1	ortholog_one2one
ENSMUSG00000032702	ENSMUSG00000032702.17	Kank1	ENSG00000107104	KANK1	ENSP00000371734	1	ortholog_one2one
ENSMUSG00000031224	ENSMUSG00000031224.7	Magee2	ENSG00000186675	MAGEE2	ENSP00000362457	1	ortholog_one2one
ENSMUSG00000031343	ENSMUSG00000031343.14	Gabra3	ENSG00000011677	GABRA3	ENSP00000359337	1	ortholog_one2one
ENSMUSG00000002489	ENSMUSG00000002489.17	Tiam1	ENSG00000156299	TIAM1	ENSP00000441570	1	ortholog_one2one
ENSMUSG00000024837	ENSMUSG00000024837.16	Dmrt1	ENSG00000137090	DMRT1	ENSP00000371711	1	ortholog_one2one
ENSMUSG00000017843	ENSMUSG00000017843.15	Ppp2r5c	ENSG00000078304	PPP2R5C	ENSP00000511581	1	ortholog_one2one
ENSMUSG00000042372	ENSMUSG00000042372.6	Dmrt3	ENSG00000064218	DMRT3	ENSP00000190165	1	ortholog_one2one
ENSMUSG00000048138	ENSMUSG00000048138.11	Dmrt2	ENSG00000173253	DMRT2	ENSP00000350865	1	ortholog_one2one
ENSMUSG00000024276	ENSMUSG00000024276.8	Zfp397	ENSG00000186812	ZNF397	ENSP00000331577	1	ortholog_one2one
ENSMUSG00000025078	ENSMUSG00000025078.10	Nhlrc2	ENSG00000196865	NHLRC2	ENSP00000358307	1	ortholog_one2one
ENSMUSG00000051469	ENSMUSG00000051469.15	Zfp24	ENSG00000172466	ZNF24	ENSP00000261332	1	ortholog_one2one
ENSMUSG00000068114	ENSMUSG00000068114.8	Ccdc134	ENSG00000100147	CCDC134	ENSP00000255784	1	ortholog_one2one
ENSMUSG00000047989	ENSMUSG00000047989.12	Ino80c	ENSG00000153391	INO80C	ENSP00000334473	1	ortholog_one2one
ENSMUSG00000035283	ENSMUSG00000035283.6	Adrb1	ENSG00000043591	ADRB1	ENSP00000358301	1	ortholog_one2one
ENSMUSG00000035173	ENSMUSG00000035173.15	Ccdc186	ENSG00000165813	CCDC186	ENSP00000358293	1	ortholog_one2one
ENSMUSG00000000420	ENSMUSG00000000420.16	Galnt1	ENSG00000141429	GALNT1	ENSP00000269195	1	ortholog_one2one
ENSMUSG00000022155	ENSMUSG00000022155.10	Mroh2b	ENSG00000171495	MROH2B	ENSP00000382476	1	ortholog_one2one
ENSMUSG00000031290	ENSMUSG00000031290.15	Lrch2	ENSG00000130224	LRCH2	ENSP00000325091	1	ortholog_one2one
ENSMUSG00000024855	ENSMUSG00000024855.11	Pacs1	ENSG00000175115	PACS1	ENSP00000316454	1	ortholog_one2one
ENSMUSG00000042350	ENSMUSG00000042350.14	Arel1	ENSG00000119682	AREL1	ENSP00000348714	1	ortholog_one2one
ENSMUSG00000022982	ENSMUSG00000022982.11	Sod1	ENSG00000142168	SOD1	ENSP00000270142	1	ortholog_one2one
ENSMUSG00000065532	ENSMUSG00000065532.3	Mir187	ENSG00000207797	MIR187	ENST00000385062	1	ortholog_one2one
ENSMUSG00000024273	ENSMUSG00000024273.9	2700062C07Rik	ENSG00000141428	C18orf21	ENSP00000465517	1	ortholog_one2one
ENSMUSG00000022983	ENSMUSG00000022983.17	Scaf4	ENSG00000156304	SCAF4	ENSP00000286835	1	ortholog_one2one
ENSMUSG00000079105	ENSMUSG00000079105.5	C7	ENSG00000112936	C7	ENSP00000322061	1	ortholog_one2one
ENSMUSG00000040446	ENSMUSG00000040446.5	Rprd1a	ENSG00000141425	RPRD1A	ENSP00000381984	1	ortholog_one2one
ENSMUSG00000041849	ENSMUSG00000041849.8	Card6	ENSG00000132357	CARD6	ENSP00000254691	1	ortholog_one2one
ENSMUSG00000041841	ENSMUSG00000041841.9	Rpl37	ENSG00000145592	RPL37	ENSP00000274242	1	ortholog_one2one
ENSMUSG00000024619	ENSMUSG00000024619.9	Cdx1	ENSG00000113722	CDX1	ENSP00000231656	1	ortholog_one2one
ENSMUSG00000024269	ENSMUSG00000024269.12	Tpgs2	ENSG00000134779	TPGS2	ENSP00000335144	1	ortholog_one2one
ENSMUSG00000077737	ENSMUSG00000077737.3	Snord72	ENSG00000212296	SNORD72	ENST00000390994	1	ortholog_one2one
ENSMUSG00000050697	ENSMUSG00000050697.10	Prkaa1	ENSG00000132356	PRKAA1	ENSP00000380317	1	ortholog_one2one
ENSMUSG00000024853	ENSMUSG00000024853.11	Sf3b2	ENSG00000087365	SF3B2	ENSP00000318861	1	ortholog_one2one
ENSMUSG00000031226	ENSMUSG00000031226.14	Pbdc1	ENSG00000102390	PBDC1	ENSP00000362456	1	ortholog_one2one
ENSMUSG00000033871	ENSMUSG00000033871.15	Ppargc1b	ENSG00000155846	PPARGC1B	ENSP00000312649	1	ortholog_one2one
ENSMUSG00000022463	ENSMUSG00000022463.9	Srebf2	ENSG00000198911	SREBF2	ENSP00000354476	1	ortholog_one2one
ENSMUSG00000018707	ENSMUSG00000018707.14	Dync1h1	ENSG00000197102	DYNC1H1	ENSP00000348965	1	ortholog_one2one
ENSMUSG00000053414	ENSMUSG00000053414.9	Hunk	ENSG00000142149	HUNK	ENSP00000270112	1	ortholog_one2one
ENSMUSG00000031227	ENSMUSG00000031227.9	Magee1	ENSG00000198934	MAGEE1	ENSP00000354912	1	ortholog_one2one
ENSMUSG00000031230	ENSMUSG00000031230.4	Fgf16	ENSG00000196468	FGF16	ENSP00000399324	1	ortholog_one2one
ENSMUSG00000105200	ENSMUSG00000105200.3	Mir378a	ENSG00000199047	MIR378A	ENST00000362177	1	ortholog_one2one
ENSMUSG00000024268	ENSMUSG00000024268.17	Celf4	ENSG00000101489	CELF4	ENSP00000410584	1	ortholog_one2one
ENSMUSG00000022978	ENSMUSG00000022978.12	Mis18a	ENSG00000159055	MIS18A	ENSP00000290130	1	ortholog_one2one
ENSMUSG00000047658	ENSMUSG00000047658.7	Gal3st3	ENSG00000175229	GAL3ST3	ENSP00000308591	1	ortholog_one2one
ENSMUSG00000022369	ENSMUSG00000022369.14	Mtbp	ENSG00000172167	MTBP	ENSP00000303398	1	ortholog_one2one
ENSMUSG00000031229	ENSMUSG00000031229.17	Atrx	ENSG00000085224	ATRX	ENSP00000362441	1	ortholog_one2one
ENSMUSG00000039929	ENSMUSG00000039929.15	Urb1	ENSG00000142207	URB1	ENSP00000372199	1	ortholog_one2one
ENSMUSG00000024846	ENSMUSG00000024846.7	Cst6	ENSG00000175315	CST6	ENSP00000311313	1	ortholog_one2one
ENSMUSG00000025081	ENSMUSG00000025081.14	Tdrd1	ENSG00000095627	TDRD1	ENSP00000511878	1	ortholog_one2one
ENSMUSG00000021243	ENSMUSG00000021243.15	Fcf1	ENSG00000119616	FCF1	ENSP00000344393	1	ortholog_one2one
ENSMUSG00000021270	ENSMUSG00000021270.14	Hsp90aa1	ENSG00000080824	HSP90AA1	ENSP00000216281	1	ortholog_one2one
ENSMUSG00000018830	ENSMUSG00000018830.11	Myh11	ENSG00000133392	MYH11	ENSP00000300036	1	ortholog_one2one
ENSMUSG00000065465	ENSMUSG00000065465.3	Mir33	ENSG00000207932	MIR33A	ENST00000385197	1	ortholog_one2one
ENSMUSG00000096883	ENSMUSG00000096883.3	Shisa8	ENSG00000234965	SHISA8	ENSP00000481203	1	ortholog_one2one
ENSMUSG00000020593	ENSMUSG00000020593.17	Lpin1	ENSG00000134324	LPIN1	ENSP00000501331	1	ortholog_one2one
ENSMUSG00000060429	ENSMUSG00000060429.13	Sntb1	ENSG00000172164	SNTB1	ENSP00000431124	1	ortholog_one2one
ENSMUSG00000033628	ENSMUSG00000033628.16	Pik3c3	ENSG00000078142	PIK3C3	ENSP00000262039	1	ortholog_one2one
ENSMUSG00000022151	ENSMUSG00000022151.17	Ttc33	ENSG00000113638	TTC33	ENSP00000338533	1	ortholog_one2one
ENSMUSG00000022367	ENSMUSG00000022367.8	Has2	ENSG00000170961	HAS2	ENSP00000306991	1	ortholog_one2one
ENSMUSG00000039942	ENSMUSG00000039942.16	Ptger4	ENSG00000171522	PTGER4	ENSP00000302846	1	ortholog_one2one
ENSMUSG00000031232	ENSMUSG00000031232.18	Magt1	ENSG00000102158	MAGT1	ENSP00000480732	1	ortholog_one2one
ENSMUSG00000041817	ENSMUSG00000041817.15	Fam169a	ENSG00000198780	FAM169A	ENSP00000508577	1	ortholog_one2one
ENSMUSG00000024844	ENSMUSG00000024844.16	Banf1	ENSG00000175334	BANF1	ENSP00000310275	1	ortholog_one2one
ENSMUSG00000071757	ENSMUSG00000071757.11	Zhx2	ENSG00000178764	ZHX2	ENSP00000314709	1	ortholog_one2one
ENSMUSG00000024841	ENSMUSG00000024841.9	Eif1ad	ENSG00000175376	EIF1AD	ENSP00000434056	1	ortholog_one2one
ENSMUSG00000022365	ENSMUSG00000022365.7	Derl1	ENSG00000136986	DERL1	ENSP00000259512	1	ortholog_one2one
ENSMUSG00000025082	ENSMUSG00000025082.9	Vwa2	ENSG00000165816	VWA2	ENSP00000376708	1	ortholog_one2one
ENSMUSG00000022364	ENSMUSG00000022364.15	Tbc1d31	ENSG00000156787	TBC1D31	ENSP00000287380	1	ortholog_one2one
ENSMUSG00000060739	ENSMUSG00000060739.9	Nsa2	ENSG00000164346	NSA2	ENSP00000483484	1	ortholog_one2one
ENSMUSG00000022677	ENSMUSG00000022677.16	Cep20	ENSG00000133393	CEP20	ENSP00000255759	1	ortholog_one2one
ENSMUSG00000057455	ENSMUSG00000057455.13	Rit2	ENSG00000152214	RIT2	ENSP00000321805	1	ortholog_one2one
ENSMUSG00000021359	ENSMUSG00000021359.17	Tfap2a	ENSG00000137203	TFAP2A	ENSP00000368933	1	ortholog_one2one
ENSMUSG00000024578	ENSMUSG00000024578.4	Il17b	ENSG00000127743	IL17B	ENSP00000261796	1	ortholog_one2one
ENSMUSG00000025269	ENSMUSG00000025269.17	Apex2	ENSG00000169188	APEX2	ENSP00000364126	1	ortholog_one2one
ENSMUSG00000039903	ENSMUSG00000039903.19	Eva1c	ENSG00000166979	EVA1C	ENSP00000300255	1	ortholog_one2one
ENSMUSG00000024579	ENSMUSG00000024579.8	Pcyox1l	ENSG00000145882	PCYOX1L	ENSP00000274569	1	ortholog_one2one
ENSMUSG00000039148	ENSMUSG00000039148.6	Sart1	ENSG00000175467	SART1	ENSP00000310448	1	ortholog_one2one
ENSMUSG00000024580	ENSMUSG00000024580.9	Grpel2	ENSG00000164284	GRPEL2	ENSP00000329558	1	ortholog_one2one
ENSMUSG00000033032	ENSMUSG00000033032.16	Afap1l1	ENSG00000157510	AFAP1L1	ENSP00000296721	1	ortholog_one2one
ENSMUSG00000037106	ENSMUSG00000037106.9	Fer1l6	ENSG00000214814	FER1L6	ENSP00000428280	1	ortholog_one2one
ENSMUSG00000062373	ENSMUSG00000062373.9	Tmem65	ENSG00000164983	TMEM65	ENSP00000297632	1	ortholog_one2one
ENSMUSG00000039330	ENSMUSG00000039330.6	Tsga10ip	ENSG00000175513	TSGA10IP	ENSP00000484252	1	ortholog_one2one
ENSMUSG00000022972	ENSMUSG00000022972.11	Cfap298	ENSG00000159079	CFAP298	ENSP00000290155	1	ortholog_one2one
ENSMUSG00000041138	ENSMUSG00000041138.17	Nme8	ENSG00000086288	NME8	ENSP00000199447	1	ortholog_one2one
ENSMUSG00000025270	ENSMUSG00000025270.14	Alas2	ENSG00000158578	ALAS2	ENSP00000497236	1	ortholog_one2one
ENSMUSG00000037085	ENSMUSG00000037085.9	Trmt12	ENSG00000183665	TRMT12	ENSP00000329858	1	ortholog_one2one
